Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry
Kinvara Visitor Information Point,,+353(0)91658108,-8.93591557246077,53.1388910775191,Galway,Kinvara,Republic of Ireland
Medieval Mile Museum,http://medievalmilemuseum.ie/,+353(0)861705934,-7.25209627969286,52.6517260001467,Kilkenny,Kilkenny City,Republic of Ireland
Carlow Food Trail,http://carlowtourism.com/,+353(0)599130411,-6.92805651824642,52.8362803317642,Carlow,Carlow Town,Republic of Ireland
SS Crete Boom – Ballina’s Concrete Ship,http://northmayo.ie/visit-ss-creteboom-concrete-ship-in-ballina/,+353(0)9670905,-9.15507203231098,54.1151859688673,Mayo,Ballina,Republic of Ireland
The Belfast Titanic Tour -  Finn McCools Tours,http://www.finnmccoolstours.com/,+353(0)18684101,-6.25907420862063,53.3465802160448,Dublin,Dublin City,Republic of Ireland
Inch Island,,,-7.4599475,55.054828,Donegal,Inch Island,Republic of Ireland
Cliffs of Moher - Finn McCools Tours,http://www.finnmccoolstours.com/,+353(0)18684101,-6.26026510942324,53.3509833070668,Dublin,Dublin City,Republic of Ireland
Macau Casino Club,http://www.macausportingclub.com,+353(0)14755377,-6.2656956,53.3411714,Dublin,Dublin City,Republic of Ireland
Hook & Ladder Cookery School,http://www.hookandladder.ie,+353(0)51850765,-7.11833710185237,52.2488080366063,Waterford,Waterford City,Republic of Ireland
Wicklow Brewery,http://www.wicklowbrewery.ie,+353(0)40441661,-6.14497101038136,52.8893580306763,Wicklow,Redcross,Republic of Ireland
Patrick Donald Photography Gallery,http://www.patrickdonald.com,+353(0)15389937,-6.25834430023644,53.3414059447069,Dublin,Dawson Street,Republic of Ireland
Bandon Visitor Information Point,,+353(0)238842861,-8.73557861343738,51.745692287695,Cork,Bandon,Republic of Ireland
Culdaff Beach,,,-7.1449971,55.291806,Donegal,Culdaff,Republic of Ireland
Beale Strand,,,-9.6312144,52.573972,Kerry,Ballybunion,Republic of Ireland
Pollan Bay,,,-7.3910308,55.290233,Donegal,Ballyliffin,Republic of Ireland
DoDublin Tours – Live German Tour,http://dodublin.ie/deutsche-busausflug-dublin,+353(0)17033215,-6.26102866999258,53.3504645513987,Dublin,Dublin City,Republic of Ireland
Glin Heritage Trails - Knight's Walk,,,-9.28570764449933,52.5702100309281,Limerick,Glin,Republic of Ireland
Alainn Tours,http://www.vacancesenirlande.com,+353(0)719150345,-8.49441129053582,54.276444346788,Sligo,Sligo Town,Republic of Ireland
Vanda Art Gallery,http://www.vandaluddy.com,+353(0)872855705,-9.0524112,53.2733757,Galway,Galway,Republic of Ireland
The Gallery Kinsale,http://thegallerykinsale.com,+353(0)868448589,-8.5230998,51.7050359,Cork,Kinsale,Republic of Ireland
White Strand Miltown Malbay Blue Flag Beach 2019,http://www.blueflagireland.org/,+353(0)656821616,-8.975776,52.849521,Clare,Milltown Malbay,Republic of Ireland
Caimileon Art Studio,http://www.caimileon.com,+353(0)91638876,-8.933924,53.165389,Galway,Ballinderreen,Republic of Ireland
National Kart & Adventure Centre Limerick,http://www.nationalkartcentre.ie,+353(0)61340161,-8.577525,52.684127,Limerick,Limerick City,Republic of Ireland
Creevagh Painting Holidays,,+353(0)872774376,-9.257909,54.22711,Mayo,Killala,Republic of Ireland
Carr Golf Travel,http://www.carrgolf.com,+353(0)18226662,-6.349643,53.387157,Dublin,Clonsilla,Republic of Ireland
Narosa Life,http://www.narosalife.com,8831090(0)86-8831090,-7.971912,55.183039,Donegal,Dunfanaghy,Republic of Ireland
Trek West,http://www.trekwesttours.ie,+353(0)9676586,-9.15049552667483,54.1145903639548,Mayo,Ballina,Republic of Ireland
West Cork Bike Hire,http://www.westcorkbikehire.com,+353(0)863088215,-9.552964,51.530941,Cork,Schull,Republic of Ireland
Bartons Transport,http://www.bartons.ie/,+353(0)16286338,-6.589851,53.368805,Kildare,Maynooth,Republic of Ireland
Deros Tours,http://www.derostours.com,+353(0)646631251,-9.508798,52.058222,Kerry,Killarney,Republic of Ireland
Red Mountain Open Farm,http://www.redmountainopenfarm.ie,+353(0)419823221,-6.44785637922252,53.6734790489153,Meath,Donore,Republic of Ireland
Ardfert Indoor Market,,+353(0)879209673,-9.782158,52.328152,Kerry,Ardfert,Republic of Ireland
Celtic Nature Walking Tours,http://www.celticnature.com,+353(0)877903950,-10.3175777499449,52.1429950992622,Kerry,Dingle,Republic of Ireland
GoEco Ireland,http://www.electricbikeholidays.ie,+353(0)61381427,-8.385225,52.60334,Limerick,Cappamore,Republic of Ireland
Grange Beach Green Coast Award for 2018,http://cleancoasts.org/wp-content/uploads/2015/02/Green-Coast-2015.pdf,,-6.84020270594022,52.1911459823255,Wexford,Fethard On Sea,Republic of Ireland
Baginbun Beach,,,-6.929462,52.123762,Wexford,Fethard On Sea,Republic of Ireland
Carnivan Beach,,,-6.83058966883084,52.1762003240587,Wexford,Fethard On Sea,Republic of Ireland
Irish White Water,http://www.irishwhitewater.com,,-9.04947254971209,53.2721788149031,Galway,Galway City,Republic of Ireland
Enchanted Ireland Tours,http://www.enchantedireland.com,+353(0)646671112,-9.471384,52.065385,Kerry,Killarney,Republic of Ireland
Barnageara Beach,,+353(0)18400077,-6.14835903591612,53.5866658407311,Dublin,Skerries,Republic of Ireland
Bull Island,http://www.dublin.ie,+353(0)18331859,-6.137493,53.374989,Dublin,Dublin City,Republic of Ireland
Clare Island,,+353(0)9826525,-10.0045082778525,53.8068838066043,Mayo,Clare Island,Republic of Ireland
Dunfanaghy Anglers Association Waters,,+353(0)749136218,-7.969928,55.183295,Donegal,Dunfanaghy,Republic of Ireland
Dungloe River,,+353(0)749521163,-8.37479834529767,54.94660888762,Donegal,Dungloe,Republic of Ireland
Minard Castle,,+353(0)669151188,-10.110453,52.126229,Kerry,Lispole,Republic of Ireland
Parkavonear Castle,,+353(0)646631633,-9.554942,52.075907,Kerry,Killarney,Republic of Ireland
Tarbert House,http://www.kerrytourism.tarbert.ie/things-to-do/visit-tarbert-house/,+353(0)6836198,-9.368959,52.579671,Kerry,Tarbert,Republic of Ireland
Castle Rheban,,+353(0)45521240,-7.025137,53.022126,Kildare,Athy,Republic of Ireland
English Language Centre - National University Of Ireland,http://www.nuigalway.ie/englishlanguage,+353(0)91495330,-9.060111,53.278255,Galway,Galway City,Republic of Ireland
Executive Language Training Ireland,http://www.elti.net,+353(0)238844730,-8.68797710742924,51.7105555302429,Cork,Bandon,Republic of Ireland
High Schools International,http://www.hsinet.org,+353(0)16784800,-6.243811,53.338496,Dublin,Dublin City,Republic of Ireland
Seal Rescue Centre,http://www.sealrescueireland.org,+353(0)539424980,-6.22938873865518,52.6448778383231,Wexford,Courtown,Republic of Ireland
Dingle Bay Ferries,,+353(0)669151640,-10.1767017079091,52.1322535640567,Kerry,Dingle,Republic of Ireland
Raven Nature Reserve,,+353(0)539120967,-6.375567,52.381664,Wexford,Curracloe,Republic of Ireland
Sathya Sai Sanctuary For Nature,http://www.donkeys.ie,+353(0)719611146,-8.406741,54.067111,Sligo,Castlebaldwin,Republic of Ireland
Angling Tullaghabegley River,,+353(0)749521297,-8.11048341269047,55.1261518056569,Donegal,Falcarragh,Republic of Ireland
Muckross Friary,http://www.heritageireland.ie/en/,+353(0)646670144,-9.504292,52.018083,Kerry,Killarney,Republic of Ireland
Dalkey Castle & Heritage Centre,http://www.dalkeycastle.com,+353(0)12858366,-6.105461,53.278024,Dublin,Dalkey,Republic of Ireland
Dublin Castle,http://www.dublincastle.ie,+353(0)16458813,-6.26741864418033,53.3428995946208,Dublin,Dublin City,Republic of Ireland
