busLine,sourceAndDest
122,From Ashington To Drimnagh Rd.
70n,From Westmoreland St. To Dunboyne
33n,From Westmoreland St. To Balbriggan
88n,From Westmoreland St. To Ashbourne
1,From Santry (Shanard Rd.) To Sandymount (St. John's Church)
46a,From Phoenix Park To Dún Laoghaire
41c,From Lower Abbey St. To Swords Manor
155,From Ikea To Bray Rail Station
39n,From Westmoreland St. To Tyrrelstown
66n,From Westmoreland St. To Leixlip (Louisa Bridge) via Glen Easton
67n,From Westmoreland St. To Celbridge / Maynooth
25n,From Westmoreland St. To Adamstown
123,From Walkinstown (Kilnamanagh Rd.) To Marino
11,From Wadelai Park To Sandyford Business District
39a,From UCD Belfield To Ongar
66x,From UCD Belfield To Maynooth
25x,From UCD Belfield To Lucan
41x,From UCD Belfield To Knocksedan
27x,From UCD Belfield To Clare Hall
67x,From UCD Belfield To Celbridge (Salesian College)
43,From Talbot St. To Swords Business Park
53a,From Talbot St. To Sheriff Street Upper
42,From Talbot St. To Sand's Hotel (Portmarnock)
32,From Talbot St. To Malahide
31a,From Talbot St. To Howth Summit
31b,From Talbot St. To Howth Summit
53,From Talbot St. To Dublin Ferryport
77a,From Ringsend Road To Citywest
15d,From Ringsend Road (Barrow Street) To Whitechurch
15b,From Ringsend Road (Barrow Street) To Stocking Ave.
15a,From Ringsend Road (Barrow Street) To Limekiln Ave.
56a,From Ringsend Rd. To Tallaght (The Square)
142,From Portmarnock To UCD Belfield
65b,From Poolbeg Street To Citywest
65,From Poolbeg St. To Blessington / Ballymore
47,From Poolbeg St. To Belarmine
49,From Pearse Street To Tallaght (The Square)
54a,From Pearse St.To Ellensborough / Kiltipper Way
40d,From Parnell St. To Tyrrelstown
40b,From Parnell St. To Toberburr
120,From Parnell St. To Ashtown Rail Station
116,From Parnell Sq. To Whitechurch
140,From Palmerston Park To Ballymun (Ikea)
68x,From Newcastle / Greenogue Business Park To Hawkins Street
7b,From Mountjoy Sq. To Shankill
7a,From Mountjoy Sq. To Loughlinstown
7d,From Mountjoy Sq. To Dalkey
7,From Mountjoy Sq. To Brides Glen Luas Stop
66,From Merrion Sq. To Maynooth
66e,From Merrion Sq. To Maynooth
67,From Merrion Sq. To Maynooth
25a,From Merrion Sq. To Lucan (Esker Church)
25,From Merrion Sq. To Lucan (Dodsboro)
26,From Merrion Sq. To Liffey Valley
66b,From Merrion Sq. To Leixlip (Castletown)
66a,From Merrion Sq. To Leixlip (Captain's Hill)
25b,From Merrion Sq. To Adamstown Rail Station
25d,From Merrion Sq. To Adamstown Rail Station
32x,From Malahide To UCD Belfield
130,From Lwr. Abbey St. To Castle Ave.
29a,From Lwr. Abbey St. To Baldoyle (Coast Rd.)
41b,From Lwr Abbey St. To Rolestown
41,From Lower Abbey St. To Swords Manor
33,From Lower Abbey St. To Balbriggan
118,From Kilternan To Eden Quay
90,From Heuston Station To International Financial Services Centre
747,From Heuston Rail Station To Dublin Airport
145,From Heuston Rail Station To Ballywaltrim
84x,From Hawkins Street To Newcastle / Kilcoole
150,From Hawkins St. To Rossmore
69,From Hawkins St. To Rathcoole
69x,From Hawkins St. To Rathcoole
68a,From Hawkins St. To Newcastle / Greenogue Business Park
4,From Harristown To Monkstown Avenue
83,From Harristown To Kimmage
13,From Harristown To Grange Castle
61,From Eden Quay To Whitechurch
27b,From Eden Quay To Harristown
27a,From Eden Quay To Blunden Drive
44b,From Dundrum Luas Station To Glencullen
51x,From Dunawley To UCD Belfield
16,From Dublin Airport To Ballinteer (Kingston)
49n,From D'Olier Street. To Tallaght (Kilnamanagh)
77n,From D'Olier St. To Tallaght (Westbrook Estate)
7n,From D'Olier St. To Shankill
42n,From D'Olier St. To Portmarnock
31n,From D'Olier St. To Howth
84n,From D'Olier St. To Greystones
46n,From D'Olier St. To Dundrum
29n,From D'Olier St. To Baldoyle Road
151,From Docklands (East Rd.) To Foxborough (Balgaddy Rd.)
42d,From DCU To Portmarnock
44,From DCU To Enniskerry
70d,From DCU To Dunboyne
31d,From DCU To Baldoyle
33x,From Custom House Quay / St. Stephen's Green To Skerries
33d,From Custom House Quay / St. Stephen's Green To Portrane
15,From Clongriffin To Ballycullen Rd.
27,From Clare Hall To Jobstown
77x,From Citywest To UCD Belfield
9,From Charlestown To Limekiln Ave.
40,From Charlestown Shopping Centre To Liffey Valley Shopping Centre
757,From Camden Street To Dublin Airport
39x,From Burlington Road To Ongar
39,From Burlington Rd. To Ongar
70,From Burlington Rd. To Dunboyne
38b,From Burlington Rd. To Damastown
38,From Burlington Rd. To Damastown
38a,From Burlington Rd. To Damastown
40e,From Broombridge Luas To Tyrrelstown
84a,From Blackrock To Newcastle
46e,From Blackrock Station To Mountjoy Sq.
14,From Beaumont (Ardlea Rd.) To Dundrum Luas Station
37,From Baggot St. / Wilton Terrace To Blanchardstown Centre
79a,From Aston Quay To Spiddal Park / Park West (79a)
69n,From Aston Quay To Saggart
51d,From Aston Quay To Clondalkin
