,Longitude,Latitude,loc_name,rating_name,agg_score,rating,category
0,-6.2656956,53.3411714,macau casino club,macau casino club dublin,100.000000000001,506,CASINOS & GAMBLING
1,-6.137493,53.374989,bull island,bull island,100.000000000001,74,NATURE & PARKS
2,-6.26741864418033,53.3428995946208,dublin castle,dublin castle,100.000000000001,43,SIGHTS & LANDMARKS
3,-6.2671491693115495,53.3439224313735,dublin city hall,city hall,100.000000000001,82,MUSEUMS
4,-6.372209,53.288410999999996,civic theatre,civic theatre,100.000000000001,161,CONCERTS & SHOWS
5,-6.269532,53.344173,contemporary music centre,contemporary music centre,100.000000000001,569,CONCERTS & SHOWS
6,-6.304145,53.355024,dublin zoo,dublin zoo,100.000000000001,16,ZOOS & AQUARIUMS
7,-6.27200028587913,53.34312274391829,dublinia,dublinia,100.000000000001,33,MUSEUMS
8,-6.26163,53.340387,gaiety theatre,gaiety theatre,100.000000000001,34,CONCERTS & SHOWS
9,-6.269414,53.330748,irish jewish museum,irish jewish museum,100.000000000001,106,MUSEUMS
10,-6.252428,53.361245,croke park stadium,croke park stadium tour gaa museum,100.000000000001,20,MUSEUMS
11,-6.30978111045078,53.3418898820564,kilmainham gaol,kilmainham gaol museum,100.000000000001,5,MUSEUMS
12,-6.1946129999999995,53.265657999999995,leopardstown racecourse,leopardstown racecourse,100.000000000001,101,CASINOS & GAMBLING
13,-6.270589,53.339197,marsh library,marsh library,100.000000000001,39,TRAVELER RESOURCES
14,-6.2571069999999995,53.34854,abbey theatre,abbey theatre,100.000000000001,47,CONCERTS & SHOWS
15,-6.252491,53.340892000000004,national gallery ireland,national gallery ireland,100.000000000001,22,MUSEUMS
16,-6.265378635582009,53.345183373571,national photographic archive,national photographic archive,100.000000000001,224,MUSEUMS
17,-6.235386,53.335167000000006,national print museum,national print museum,100.000000000001,84,MUSEUMS
18,-6.2660800000000005,53.344313,olympia theatre,olympia theatre,100.000000000001,91,CONCERTS & SHOWS
19,-6.264056,53.345634999999994,black church print studio,black church print studio,100.000000000001,625,MUSEUMS
20,-6.25470687235258,53.3370711953088,royal hibernian academy,royal hibernian academy,100.000000000001,170,MUSEUMS
21,-6.27157,53.339543000000006,st patrick cathedral,st patrick cathedral,100.000000000001,21,SIGHTS & LANDMARKS
22,-6.1974,53.349617,stena line,steine,75.0,450,SIGHTS & LANDMARKS
23,-6.265743,53.345328,temple bar cultural trust temple bar cultural information centre,temple bar,100.000000000001,26,SIGHTS & LANDMARKS
24,-6.261968,53.352709,ambassador theatre,ambassador event centre,78.04878048780488,288,SIGHTS & LANDMARKS
25,-6.260294,53.350921,spire,spire,100.000000000001,83,SIGHTS & LANDMARKS
26,-6.264127138900791,53.35393596283111,garden remembrance,garden remembrance,100.000000000001,73,NATURE & PARKS
27,-6.260654,53.349332999999994,general post office,post general post office,100.000000000001,115,SIGHTS & LANDMARKS
28,-6.263081,53.346306999999996,ha penny bridge,ha penny bridge,100.000000000001,65,SIGHTS & LANDMARKS
29,-6.25002,53.3388,merrion square,merrion square,100.000000000001,42,SIGHTS & LANDMARKS
30,-6.257726,53.340317000000006,mansion house,mansion house,100.000000000001,129,SIGHTS & LANDMARKS
31,-6.254251999999999,53.340121999999994,leinster house,leinster house,100.000000000001,113,SIGHTS & LANDMARKS
32,-6.26077042291262,53.335531607895604,iveagh gardens,iveagh gardens,100.000000000001,55,NATURE & PARKS
33,-6.257889,53.341089000000004,st ann church,st ann church,100.000000000001,164,SIGHTS & LANDMARKS
34,-6.273575,53.343796,st audoen church,st audoen church,100.000000000001,59,SIGHTS & LANDMARKS
35,-6.292519,53.334912,war memorial gardens,war memorial gardens,100.000000000001,62,NATURE & PARKS
36,-6.258885,53.351138,st mary pro cathedral,st mary pro cathedral,100.000000000001,93,SIGHTS & LANDMARKS
37,-6.271123,53.343458999999996,christ church cathedral,christ church cathedral,100.000000000001,19,SIGHTS & LANDMARKS
