rating,name,category
1,Jameson Distillery Bow St.,FOOD & DRINK
2,Irish Whiskey Museum,MUSEUMS
3,EPIC The Irish Emigration Museum,MUSEUMS
4,The Little Museum of Dublin,MUSEUMS
5,Kilmainham Gaol Museum,MUSEUMS
6,Teeling Whiskey Distillery,FOOD & DRINK
7,Glasnevin Cemetery Museum,MUSEUMS
8,Trinity College Dublin,SIGHTS & LANDMARKS
9,Guinness Storehouse,MUSEUMS
10,National Museum of Ireland - Archaeology,MUSEUMS
11,St Stephens Green,NATURE & PARKS
12,The Book of Kells and the Old Library Exhibition,TRAVELER RESOURCES
13,Phoenix Park,NATURE & PARKS
14,National Botanic Gardens,NATURE & PARKS
15,The Irish Rock 'N' Roll Museum Experience,MUSEUMS
16,Dublin Zoo,ZOOS & AQUARIUMS
17,14 Henrietta Street,MUSEUMS
18,Chester Beatty,MUSEUMS
19,Christ Church Cathedral,SIGHTS & LANDMARKS
20,Croke Park Stadium Tour & GAA Museum,MUSEUMS
21,Saint Patrick's Cathedral,SIGHTS & LANDMARKS
22,National Gallery of Ireland,MUSEUMS
23,The Jeanie Johnston: An Irish Famine Story,MUSEUMS
24,Pearse Lyons Distillery,FOOD & DRINK
25,GPO Museum,MUSEUMS
26,Temple Bar,SIGHTS & LANDMARKS
27,Grafton Street,SIGHTS & LANDMARKS
28,The Famine Sculptures,SIGHTS & LANDMARKS
29,St. Michan's Church,SIGHTS & LANDMARKS
30,Vaults Live,CONCERTS & SHOWS
31,Shelbourne Park Greyhound Stadium,SIGHTS & LANDMARKS
32,National Museum of Ireland - Decorative Arts & History,MUSEUMS
33,Dublinia,MUSEUMS
34,Gaiety Theatre,CONCERTS & SHOWS
35,Bord Gáis Energy Theatre,CONCERTS & SHOWS
36,The National Wax Museum Plus,MUSEUMS
37,O'Connell Street,SIGHTS & LANDMARKS
38,Molly Malone Statue,SIGHTS & LANDMARKS
39,Marsh's Library,TRAVELER RESOURCES
40,Croke Park Stadium,SIGHTS & LANDMARKS
41,National Museum of Ireland,MUSEUMS
42,Merrion Square,SIGHTS & LANDMARKS
43,Dublin Castle,SIGHTS & LANDMARKS
44,Dublin Visitor Centre,TRAVELER RESOURCES
45,Farmleigh House and Estate,NATURE & PARKS
46,Phil Lynott Statue,SIGHTS & LANDMARKS
47,Abbey Theatre,CONCERTS & SHOWS
48,Roe & Co Distillery,FOOD & DRINK
49,Dublin City Gallery The Hugh Lane,MUSEUMS
50,Aviva Stadium,SIGHTS & LANDMARKS
51,Drimnagh Castle,SIGHTS & LANDMARKS
52,The Dublin Liberties Distillery,FOOD & DRINK
53,Bram Stoker's Castle Dracula Dublin,MUSEUMS
54,Irish Famine Exhibition,MUSEUMS
55,Iveagh Gardens,NATURE & PARKS
56,Poolbeg Lighthouse,SIGHTS & LANDMARKS
57,Monument to Oscar Wilde,SIGHTS & LANDMARKS
58,Seamus Heaney: Listen Now Again,MUSEUMS
59,St. Audoen's Church,SIGHTS & LANDMARKS
60,River Liffey,NATURE & PARKS
61,National Leprechaun Museum,MUSEUMS
62,War Memorial Gardens,NATURE & PARKS
63,Dublin Mountains,NATURE & PARKS
64,Sugarloaf Mountain,NATURE & PARKS
65,Ha'penny Bridge,SIGHTS & LANDMARKS
66,Experience Gaelic Games,CLASSES & WORKSHOPS
67,Kylemore Karting,SIGHTS & LANDMARKS
68,Samuel Beckett Bridge,SIGHTS & LANDMARKS
69,Cliff Path Loop,NATURE & PARKS
70,St. Stephen's Green Shopping Centre,SHOPPING
71,3Arena,CONCERTS & SHOWS
72,Rascals Brewing Company,FOOD & DRINK
73,Garden of Remembrance,NATURE & PARKS
74,Bull Island,NATURE & PARKS
75,Irish Ferries,TRANSPORTATION
76,Powerscourt Townhouse Centre,SHOPPING
77,St. Teresa's Church,SIGHTS & LANDMARKS
78,Awesome Walls,FUN & GAMES
79,Hell-Fire Club,SIGHTS & LANDMARKS
80,Irish Museum of Modern Art (IMMA),MUSEUMS
81,National Library of Ireland,MUSEUMS
82,City Hall,MUSEUMS
83,The Spire,SIGHTS & LANDMARKS
84,National Print Museum,MUSEUMS
85,Dublin Writers Museum,MUSEUMS
86,St. Patrick's Park,NATURE & PARKS
87,Royal Hospital Kilmainham,SIGHTS & LANDMARKS
88,The Custom House,SIGHTS & LANDMARKS
89,The O'Connell Monument,SIGHTS & LANDMARKS
90,Aras an Uachtarain (The Irish White House),MUSEUMS
91,Olympia Theatre,CONCERTS & SHOWS
92,James Joyce Statue,SIGHTS & LANDMARKS
93,St. Mary's Pro-Cathedral,SIGHTS & LANDMARKS
94,Marlay Park,NATURE & PARKS
95,George's Street Arcade,SHOPPING
96,Henry Street,SIGHTS & LANDMARKS
97,The Forty Foot,NATURE & PARKS
98,Clara Lara Fun Park,WATER & AMUSEMENT PARKS
99,Dollymount Strand,NATURE & PARKS
100,Freemason's Hall,SIGHTS & LANDMARKS
101,Leopardstown Racecourse,CASINOS & GAMBLING
102,Bewley's Lunchtime Theatre,CONCERTS & SHOWS
103,Convention Centre Dublin,TRAVELER RESOURCES
104,Pearse Museum,MUSEUMS
105,Airfield Estate,NATURE & PARKS
106,Irish Jewish Museum,MUSEUMS
107,Sphere Within Sphere,SIGHTS & LANDMARKS
108,Smithfield Square,SIGHTS & LANDMARKS
109,Smock Alley Theatre 1662,CONCERTS & SHOWS
110,O'Connell Bridge,SIGHTS & LANDMARKS
111,The Porterhouse Brewing Company,FOOD & DRINK
112,Irish Family History Centre,MUSEUMS
113,Leinster House,SIGHTS & LANDMARKS
114,Casino Marino,SIGHTS & LANDMARKS
115,An Post General Post Office,SIGHTS & LANDMARKS
116,Luas - Tram Services,TRANSPORTATION
117,Imaginosity,MUSEUMS
118,Temple Bar Food Market,SHOPPING
119,Science Gallery Dublin,MUSEUMS
120,Brewery Hops of Ireland,FOOD & DRINK
121,John's Lane Church,SIGHTS & LANDMARKS
122,Sandymount Strand,NATURE & PARKS
123,Brown Thomas,SHOPPING
124,Dublin Flea Market,SHOPPING
125,Bank of Ireland,SIGHTS & LANDMARKS
126,Great South Wall,SIGHTS & LANDMARKS
127,Charles S. Parnell Monument,SIGHTS & LANDMARKS
128,Bushy Park,NATURE & PARKS
129,Mansion House,SIGHTS & LANDMARKS
130,Arbour Hill Cemetery,SIGHTS & LANDMARKS
131,Seapoint Beach,NATURE & PARKS
132,Newman University Church,SIGHTS & LANDMARKS
133,Museum of Literature Ireland,MUSEUMS
134,Phoenix Park Visitor Centre & Ashtown Castle,TRAVELER RESOURCES
135,"The Sporting Emporium Casino, Dublin",CASINOS & GAMBLING
136,Jervis Shopping Centre,SHOPPING
137,Stena Adventurer,TRANSPORTATION
138,Smithfield Chimney,SIGHTS & LANDMARKS
139,St Kevin's Catholic Church,SIGHTS & LANDMARKS
140,Garda Museum & Archives,MUSEUMS
141,"Marley Park Playground, Rathfarnham",FUN & GAMES
142,Whitefriar Street Carmelite Church,SIGHTS & LANDMARKS
143,Olivier Cornet Gallery,MUSEUMS
144,Herbert Park,NATURE & PARKS
145,Dubh Linn Gardens,NATURE & PARKS
146,Corkagh Park,NATURE & PARKS
147,The Icon Factory & The Icon Walk,MUSEUMS
148,Fallon & Byrne,SHOPPING
149,The Chapel Royal,SIGHTS & LANDMARKS
150,Busaras,SIGHTS & LANDMARKS
151,RDS Arena,SIGHTS & LANDMARKS
152,Cobalt Cafe and Gallery,MUSEUMS
153,Ticknock Mountain Bike Trails,NATURE & PARKS
154,TCD Zoological Museum,MUSEUMS
155,Windmill Lane Recording Studios,MUSEUMS
156,Duke of Wellington Monument,SIGHTS & LANDMARKS
157,King's Inns,SIGHTS & LANDMARKS
158,Merrion Square Outdoor Gallery,MUSEUMS
159,Moore Street,SIGHTS & LANDMARKS
160,Church of Adam and Eve,SIGHTS & LANDMARKS
161,Civic Theatre,CONCERTS & SHOWS
162,Dublin Area Rapid Transit,TRANSPORTATION
163,University College Dublin,SIGHTS & LANDMARKS
164,St. Ann's Church,SIGHTS & LANDMARKS
165,Jim Larkin Statue,SIGHTS & LANDMARKS
166,Halfpenny Bridge Market,SHOPPING
167,Four Courts,SIGHTS & LANDMARKS
168,The Gerard Byrne Studio,MUSEUMS
169,Jack Pott's Bingo,CASINOS & GAMBLING
170,Royal Hibernian Academy,MUSEUMS
171,Nassau Street,SIGHTS & LANDMARKS
172,Wall of Fame,SIGHTS & LANDMARKS
173,Andy Kenny Fitness,CLASSES & WORKSHOPS
174,The Hungry Tree,SIGHTS & LANDMARKS
175,Coolmine Equestrian Centre,NATURE & PARKS
176,St Paul’s Church,SIGHTS & LANDMARKS
177,Parnell Square,SIGHTS & LANDMARKS
178,Children of Lir,SIGHTS & LANDMARKS
179,Millennium Bridge,SIGHTS & LANDMARKS
180,Saint Patrick's Festival in Dublin City,EVENTS
181,Merrion Square Park Playground,FUN & GAMES
182,Government Buildings,SIGHTS & LANDMARKS
183,Viking Theatre @ the sheds,CONCERTS & SHOWS
184,James Connolly Memorial Statue,SIGHTS & LANDMARKS
185,Royal College of Surgeons,SIGHTS & LANDMARKS
186,Campanile of Trinity College,SIGHTS & LANDMARKS
187,Constance Markievicz Statue,SIGHTS & LANDMARKS
188,Liffey Boardwalk,SIGHTS & LANDMARKS
189,St Francis Xavier's Church,SIGHTS & LANDMARKS
190,The Fitzwilliam Casino & Card Club,CASINOS & GAMBLING
191,Fitzwilliam Square,NATURE & PARKS
192,Matt Talbot Shrine,SIGHTS & LANDMARKS
193,Leeson Street,SIGHTS & LANDMARKS
194,Grand Canal Dock,SIGHTS & LANDMARKS
195,Mount Jerome Cemetery,SIGHTS & LANDMARKS
196,Clontarf Promenade,NATURE & PARKS
197,Dublin City Wall and Gate,SIGHTS & LANDMARKS
198,Dawson Street,SIGHTS & LANDMARKS
199,Oscar Wilde House,SIGHTS & LANDMARKS
200,Ski Club of Ireland,NATURE & PARKS
201,National Aquatic Centre,FUN & GAMES
202,Romanian Orthodox Church,SIGHTS & LANDMARKS
203,Tymon Park,NATURE & PARKS
204,River Dodder,NATURE & PARKS
205,Grand Canal Square,SIGHTS & LANDMARKS
206,The Liberty Market,SHOPPING
207,Abbey Presbyterian Church,SIGHTS & LANDMARKS
208,St. Mary's Church Haddington Road,SIGHTS & LANDMARKS
209,St Nicholas of Myra,SIGHTS & LANDMARKS
210,Robert Emmet Statue,SIGHTS & LANDMARKS
211,Harold's Cross Greyhound Stadium,SIGHTS & LANDMARKS
212,Deansgrange Cemetery,SIGHTS & LANDMARKS
213,Blessington Street Park (The Basin),NATURE & PARKS
214,Fairview Park,NATURE & PARKS
215,Garda Siochana Memorial Garden,SIGHTS & LANDMARKS
216,St. Catherine's Park,NATURE & PARKS
217,Playland Casino,CASINOS & GAMBLING
218,Omni Park Shopping Centre,SHOPPING
219,Royal Canal Dublin,NATURE & PARKS
220,Revenue Museum,MUSEUMS
221,Saint Andrew's Parish,SIGHTS & LANDMARKS
222,Theobald Wolfe Tone Statue,SIGHTS & LANDMARKS
223,Rhinestones,SHOPPING
224,National Photographic Archive,MUSEUMS
225,Courtville Matthew Weldon,SHOPPING
226,St. Audoen's Catholic Church,SIGHTS & LANDMARKS
227,Rory Gallagher Corner,SIGHTS & LANDMARKS
228,Fusilier's Arch,SIGHTS & LANDMARKS
229,Wholesale Fruit Vegetable And Flower Market,FOOD & DRINK
230,51st&Green,TRAVELER RESOURCES
231,Sandycove Beach,NATURE & PARKS
